dept,word,count
SPD,people,498
SPD,license,498
SPD,memo,498
SPD,period,497
SPD,already,496
SPD,sexual,493
SPD,duty,489
SPD,murray,488
SPD,drive,488
SPD,maintenance,487
SPD,impact,487
SPD,apply,485
SPD,diagram,484
SPD,application,479
SPD,upon,479
SPD,parking,477
SPD,september,475
SPD,narrative,475
SPD,daniel,474
SPD,must,473
SPD,line,473
SPD,whom,473
SPD,utilities,471
SPD,view,470
SPD,picture,466
SPD,good,466
SPD,determine,464
SPD,every,462
SPD,sdot,462
SPD,commercial,461
SPD,bike,459
SPD,bridge,456
SPD,april,455
SPD,just,455
SPD,identify,455
SPD,reason,455
SPD,info,453
SPD,statute,450
SPD,discussion,449
SPD,officers,449
SPD,otherwise,449
SPD,footage,448
SPD,inform,448
SPD,test,444
SPD,november,442
SPD,thomas,442
SPD,back,441
SPD,major,440
SPD,force,439
SPD,open,438
SPD,same,437
SPD,joshua,436
SPD,reasonable,433
SPD,activity,433
SPD,withhold,431
SPD,installment,429
SPD,misconduct,429
SPD,engineering,428
SPD,valid,428
SPD,injury,428
SPD,portion,427
SPD,ensure,426
SPD,discovery,426
SPD,script,426
SPD,salary,425
SPD,fire,423
SPD,export,423
SPD,anything,420
SPD,plate,418
SPD,prefer,417
SPD,soon,417
SPD,brian,417
SPD,still,416
SPD,equipment,416
SPD,water,416
SPD,memorandum,415
SPD,agreement,414
SPD,june,414
SPD,driver,413
SPD,allow,412
SPD,ordinance,410
SPD,university,409
SPD,may,407
SPD,mary,406
SPD,understand,403
SPD,collect,402
SPD,shall,401
SPD,following,400
SPD,possession,396
SPD,disposition,393
SPD,assign,393
SPD,near,392
SPD,ask,392
SPD,share,392
SPD,refer,392
SPD,richard,391
SPD,damage,391
SPD,directly,390
SPD,residence,388
SPD,govqa,388
SPD,exist,384
SPD,travel,382
SPD,medical,382
SPD,interest,382
SPD,login,382
SPD,safety,381
SPD,room,379
SPD,henry,378
SPD,categorize,378
SPD,happen,375
SPD,produce,375
SPD,notify,374
SPD,assessment,372
SPD,pole,371
SPD,responsive,370
SPD,wish,370
SPD,disclose,368
SPD,most,367
SPD,comment,367
SPD,electronically,366
SPD,construction,366
SPD,correction,365
SPD,study,365
SPD,management,364
SPD,leave,364
SPD,justice,363
SPD,hour,362
SPD,site,361
SPD,housing,358
SPD,come,357
SPD,shot,357
SPD,try,355
SPD,speed,355
SPD,prepare,354
SPD,program,354
SPD,drawing,354
SPD,stop,353
SPD,generate,351
SPD,recall,351
SPD,remark,351
SPD,month,350
SPD,government,350
SPD,official,349
SPD,parks,349
SPD,calendar,349
SPD,until,348
SPD,fill,347
SPD,dollar,347
SPD,sean,347
SPD,revision,346
SPD,consider,346
SPD,purchase,346
SPD,smith,345
SPD,further,343
SPD,print,343
SPD,sign,341
SPD,entity,339
